,Einheit,Zivilstand,Anzahl
0,Schweiz,Ledig,3650651
1,Schweiz,Verheiratet,3583008
2,Schweiz,Verwitwet,407408
3,Schweiz,Geschieden,685622
4,- Zürich,Ledig,666873
5,- Zürich,Verheiratet,610396
6,- Zürich,Verwitwet,63173
7,- Zürich,Geschieden,125889
8,>> Bezirk Affoltern,Ledig,21785
9,>> Bezirk Affoltern,Verheiratet,23865
10,>> Bezirk Affoltern,Verwitwet,1875
11,>> Bezirk Affoltern,Geschieden,4076
12,......0001 Aeugst am Albis,Ledig,852
13,......0001 Aeugst am Albis,Verheiratet,908
14,......0001 Aeugst am Albis,Verwitwet,74
15,......0001 Aeugst am Albis,Geschieden,147
16,......0002 Affoltern am Albis,Ledig,5000
17,......0002 Affoltern am Albis,Verheiratet,5159
18,......0002 Affoltern am Albis,Verwitwet,545
19,......0002 Affoltern am Albis,Geschieden,1004
20,......0003 Bonstetten,Ledig,2336
21,......0003 Bonstetten,Verheiratet,2452
22,......0003 Bonstetten,Verwitwet,154
23,......0003 Bonstetten,Geschieden,383
24,......0004 Hausen am Albis,Ledig,1433
25,......0004 Hausen am Albis,Verheiratet,1596
26,......0004 Hausen am Albis,Verwitwet,131
27,......0004 Hausen am Albis,Geschieden,317
28,......0005 Hedingen,Ledig,1559
29,......0005 Hedingen,Verheiratet,1690
30,......0005 Hedingen,Verwitwet,117
31,......0005 Hedingen,Geschieden,294
32,......0006 Kappel am Albis,Ledig,454
33,......0006 Kappel am Albis,Verheiratet,460
34,......0006 Kappel am Albis,Verwitwet,38
35,......0006 Kappel am Albis,Geschieden,81
36,......0007 Knonau,Ledig,897
37,......0007 Knonau,Verheiratet,970
38,......0007 Knonau,Verwitwet,69
39,......0007 Knonau,Geschieden,161
40,......0008 Maschwanden,Ledig,292
41,......0008 Maschwanden,Verheiratet,279
42,......0008 Maschwanden,Verwitwet,26
43,......0008 Maschwanden,Geschieden,44
44,......0009 Mettmenstetten,Ledig,2016
45,......0009 Mettmenstetten,Verheiratet,2168
46,......0009 Mettmenstetten,Verwitwet,130
47,......0009 Mettmenstetten,Geschieden,355
48,......0010 Obfelden,Ledig,2091
49,......0010 Obfelden,Verheiratet,2401
50,......0010 Obfelden,Verwitwet,185
51,......0010 Obfelden,Geschieden,332
52,......0011 Ottenbach,Ledig,1031
53,......0011 Ottenbach,Verheiratet,1209
54,......0011 Ottenbach,Verwitwet,87
55,......0011 Ottenbach,Geschieden,242
56,......0012 Rifferswil,Ledig,461
57,......0012 Rifferswil,Verheiratet,486
58,......0012 Rifferswil,Verwitwet,33
59,......0012 Rifferswil,Geschieden,77
